iter	Passed	Remaining
0	148	44407
1	161	24135
2	179	17796
3	197	14636
4	217	12828
5	234	11513
6	253	10594
7	270	9877
8	288	9328
9	307	8906
10	324	8532
11	343	8237
12	362	8010
13	379	7759
14	397	7561
15	416	7393
16	433	7217
17	450	7056
18	468	6927
19	488	6837
20	506	6726
21	523	6609
22	542	6532
23	560	6449
24	577	6356
25	593	6253
26	610	6171
27	627	6091
28	644	6022
29	661	5949
30	678	5888
31	696	5829
32	714	5777
33	731	5719
34	748	5668
35	766	5618
36	784	5578
37	803	5538
38	821	5500
39	839	5454
40	856	5408
41	873	5366
42	891	5330
43	908	5283
44	925	5246
45	942	5204
46	960	5171
47	978	5136
48	996	5102
49	1013	5068
50	1031	5036
51	1048	5002
52	1066	4972
53	1085	4944
54	1101	4907
55	1118	4874
56	1136	4844
57	1153	4811
58	1172	4790
59	1190	4763
60	1208	4736
61	1227	4712
62	1247	4692
63	1263	4660
64	1281	4633
65	1298	4604
66	1316	4577
67	1332	4547
68	1349	4517
69	1366	4491
70	1385	4467
71	1403	4443
72	1420	4417
73	1438	4393
74	1459	4377
75	1476	4352
76	1494	4326
77	1511	4301
78	1528	4276
79	1547	4254
80	1564	4229
81	1581	4204
82	1598	4180
83	1614	4152
84	1631	4127
85	1648	4102
86	1666	4079
87	1684	4057
88	1700	4030
89	1717	4008
90	1734	3983
91	1751	3959
92	1767	3935
93	1785	3913
94	1801	3886
95	1818	3863
96	1835	3840
97	1852	3817
98	1870	3797
99	1889	3779
100	1907	3758
101	1926	3738
102	1944	3718
103	1961	3697
104	1979	3676
105	1996	3653
106	2013	3631
107	2031	3612
108	2048	3590
109	2066	3568
110	2084	3548
111	2102	3528
112	2120	3508
113	2137	3487
114	2155	3467
115	2172	3445
116	2188	3423
117	2206	3402
118	2224	3383
119	2241	3361
120	2258	3340
121	2276	3320
122	2293	3300
123	2311	3280
124	2329	3260
125	2345	3239
126	2361	3217
127	2377	3194
128	2394	3173
129	2413	3156
130	2430	3135
131	2446	3113
132	2463	3093
133	2480	3073
134	2498	3053
135	2514	3031
136	2531	3011
137	2546	2989
138	2565	2971
139	2583	2952
140	2600	2932
141	2618	2913
142	2634	2892
143	2651	2872
144	2669	2853
145	2685	2833
146	2703	2814
147	2720	2793
148	2736	2773
149	2753	2753
150	2769	2732
151	2786	2712
152	2803	2693
153	2822	2675
154	2840	2657
155	2858	2638
156	2876	2619
157	2892	2599
158	2909	2580
159	2927	2561
160	2945	2542
161	2961	2522
162	2978	2503
163	2996	2484
164	3013	2465
165	3029	2445
166	3046	2425
167	3061	2405
168	3080	2388
169	3097	2368
170	3114	2349
171	3129	2329
172	3146	2309
173	3163	2290
174	3180	2271
175	3197	2252
176	3213	2233
177	3230	2214
178	3248	2196
179	3266	2177
180	3285	2160
181	3305	2142
182	3324	2125
183	3342	2107
184	3362	2090
185	3380	2071
186	3397	2053
187	3415	2034
188	3433	2016
189	3451	1998
190	3467	1978
191	3485	1960
192	3501	1941
193	3517	1921
194	3532	1902
195	3551	1884
196	3569	1866
197	3585	1847
198	3603	1828
199	3619	1809
200	3639	1792
201	3656	1773
202	3674	1755
203	3692	1737
204	3708	1718
205	3728	1701
206	3746	1683
207	3765	1665
208	3782	1647
209	3799	1628
210	3816	1609
211	3833	1591
212	3852	1573
213	3870	1555
214	3887	1536
215	3904	1518
216	3922	1500
217	3942	1482
218	3958	1464
219	3976	1445
220	3993	1427
221	4011	1409
222	4030	1391
223	4047	1373
224	4063	1354
225	4079	1335
226	4095	1317
227	4112	1298
228	4130	1280
229	4146	1262
230	4164	1243
231	4180	1225
232	4198	1207
233	4215	1188
234	4230	1170
235	4246	1151
236	4263	1133
237	4281	1115
238	4299	1097
239	4317	1079
240	4335	1061
241	4352	1043
242	4369	1024
243	4388	1007
244	4407	989
245	4425	971
246	4444	953
247	4461	935
248	4480	917
249	4499	899
250	4517	881
251	4535	863
252	4553	845
253	4569	827
254	4586	809
255	4605	791
256	4624	773
257	4644	756
258	4662	738
259	4680	720
260	4697	701
261	4717	684
262	4737	666
263	4753	648
264	4769	629
265	4788	612
266	4807	594
267	4824	576
268	4841	557
269	4858	539
270	4874	521
271	4889	503
272	4905	485
273	4923	467
274	4941	449
275	4959	431
276	4977	413
277	4994	395
278	5010	377
279	5026	359
280	5043	341
281	5061	323
282	5079	305
283	5097	287
284	5114	269
285	5134	251
286	5149	233
287	5166	215
288	5183	197
289	5200	179
290	5218	161
291	5235	143
292	5252	125
293	5269	107
294	5290	89
295	5306	71
296	5322	53
297	5338	35
298	5356	17
299	5372	0
